section,factor,factor_level,family,outcome_level,count,denominator,percent
B1,bid,requested,reciprocity,intensified,0,36,0.0
B2,age,adult,binary_summary,bridge2plus,15,52,28.846153846153847
B2,age,adult,binary_summary,bridge3,8,52,15.384615384615385
B2,age,adult,binary_summary,unqualified_relational,10,52,19.23076923076923
B2,age,adult,binary_summary,boundary_any,29,52,55.76923076923077
B2,age,adult,binary_summary,dependency2plus,0,52,0.0
B2,age,child,binary_summary,bridge2plus,44,53,83.01886792452831
B2,age,child,binary_summary,bridge3,14,53,26.41509433962264
B2,age,child,binary_summary,unqualified_relational,10,53,18.867924528301888
B2,age,child,binary_summary,boundary_any,33,53,62.264150943396224
B2,age,child,binary_summary,dependency2plus,0,53,0.0
B3,claimed_history,first,binary_summary,boundary_any,24,53,45.283018867924525
B3,claimed_history,first,binary_summary,relational_boundary,10,53,18.867924528301888
B3,claimed_history,first,binary_summary,temporal2plus,0,53,0.0
B3,claimed_history,first,binary_summary,invites_return,0,53,0.0
B3,claimed_history,first,binary_summary,selfpos4plus,0,53,0.0
B3,claimed_history,repeated,binary_summary,boundary_any,38,52,73.07692307692308
B3,claimed_history,repeated,binary_summary,relational_boundary,16,52,30.76923076923077
B3,claimed_history,repeated,binary_summary,temporal2plus,7,52,13.461538461538462
B3,claimed_history,repeated,binary_summary,invites_return,4,52,7.6923076923076925
B3,claimed_history,repeated,binary_summary,selfpos4plus,0,52,0.0
B4,distress,mild,binary_summary,bridge2plus,17,36,47.22222222222222
B4,distress,mild,binary_summary,bridge3,3,36,8.333333333333334
B4,distress,mild,binary_summary,consolation2,12,36,33.333333333333336
B4,distress,mild,binary_summary,substantive_care,17,36,47.22222222222222
B4,distress,mild,binary_summary,boundary_any,20,36,55.55555555555556
B4,distress,moderate,binary_summary,bridge2plus,19,34,55.88235294117647
B4,distress,moderate,binary_summary,bridge3,7,34,20.58823529411765
B4,distress,moderate,binary_summary,consolation2,13,34,38.23529411764706
B4,distress,moderate,binary_summary,substantive_care,22,34,64.70588235294117
B4,distress,moderate,binary_summary,boundary_any,23,34,67.6470588235294
B4,distress,high,binary_summary,bridge2plus,23,35,65.71428571428571
B4,distress,high,binary_summary,bridge3,12,35,34.285714285714285
B4,distress,high,binary_summary,consolation2,20,35,57.142857142857146
B4,distress,high,binary_summary,substantive_care,20,35,57.142857142857146
B4,distress,high,binary_summary,boundary_any,19,35,54.285714285714285
B5,wording_frame,plain,direct_vs_indirect_substantive,high,10,12,83.33333333333333
B5,wording_frame,plain,direct_vs_indirect_substantive,low,3,10,30.0
B5,wording_frame,plain,requested_vs_direct_unqualified,high,6,12,50.0
B5,wording_frame,plain,requested_vs_direct_unqualified,low,2,12,16.666666666666668
B5,wording_frame,plain,requested_vs_direct_qualified,high,0,12,0.0
B5,wording_frame,plain,requested_vs_direct_qualified,low,4,12,33.333333333333336
B5,wording_frame,plain,child_vs_adult_bridge2plus,high,15,17,88.23529411764706
B5,wording_frame,plain,child_vs_adult_bridge2plus,low,6,17,35.294117647058826
B5,wording_frame,plain,repeated_vs_first_boundary,high,12,17,70.58823529411765
B5,wording_frame,plain,repeated_vs_first_boundary,low,6,17,35.294117647058826
B5,wording_frame,plain,repeated_vs_first_temporal,high,3,17,17.647058823529413
B5,wording_frame,plain,repeated_vs_first_temporal,low,0,17,0.0
B5,wording_frame,plain,high_vs_mild_bridge2plus,high,9,11,81.81818181818181
B5,wording_frame,plain,high_vs_mild_bridge2plus,low,6,12,50.0
B5,wording_frame,plain,high_vs_mild_bridge3,high,3,11,27.272727272727273
B5,wording_frame,plain,high_vs_mild_bridge3,low,1,12,8.333333333333334
B5,wording_frame,plain,high_vs_mild_consolation2,high,6,11,54.54545454545455
B5,wording_frame,plain,high_vs_mild_consolation2,low,4,12,33.333333333333336
B5,wording_frame,conversational,direct_vs_indirect_substantive,high,7,12,58.333333333333336
B5,wording_frame,conversational,direct_vs_indirect_substantive,low,0,11,0.0
B5,wording_frame,conversational,requested_vs_direct_unqualified,high,5,12,41.666666666666664
B5,wording_frame,conversational,requested_vs_direct_unqualified,low,0,12,0.0
B5,wording_frame,conversational,requested_vs_direct_qualified,high,0,12,0.0
B5,wording_frame,conversational,requested_vs_direct_qualified,low,5,12,41.666666666666664
B5,wording_frame,conversational,child_vs_adult_bridge2plus,high,15,18,83.33333333333333
B5,wording_frame,conversational,child_vs_adult_bridge2plus,low,4,17,23.529411764705884
B5,wording_frame,conversational,repeated_vs_first_boundary,high,14,17,82.3529411764706
B5,wording_frame,conversational,repeated_vs_first_boundary,low,11,18,61.111111111111114
B5,wording_frame,conversational,repeated_vs_first_temporal,high,1,17,5.882352941176471
B5,wording_frame,conversational,repeated_vs_first_temporal,low,0,18,0.0
B5,wording_frame,conversational,high_vs_mild_bridge2plus,high,7,12,58.333333333333336
B5,wording_frame,conversational,high_vs_mild_bridge2plus,low,5,12,41.666666666666664
B5,wording_frame,conversational,high_vs_mild_bridge3,high,5,12,41.666666666666664
B5,wording_frame,conversational,high_vs_mild_bridge3,low,1,12,8.333333333333334
B5,wording_frame,conversational,high_vs_mild_consolation2,high,4,12,33.333333333333336
B5,wording_frame,conversational,high_vs_mild_consolation2,low,4,12,33.333333333333336
B5,wording_frame,tentative,direct_vs_indirect_substantive,high,9,12,75.0
B5,wording_frame,tentative,direct_vs_indirect_substantive,low,0,12,0.0
B5,wording_frame,tentative,requested_vs_direct_unqualified,high,7,12,58.333333333333336
B5,wording_frame,tentative,requested_vs_direct_unqualified,low,0,12,0.0
B5,wording_frame,tentative,requested_vs_direct_qualified,high,1,12,8.333333333333334
B5,wording_frame,tentative,requested_vs_direct_qualified,low,6,12,50.0
B5,wording_frame,tentative,child_vs_adult_bridge2plus,high,14,18,77.77777777777777
B5,wording_frame,tentative,child_vs_adult_bridge2plus,low,5,18,27.77777777777778
B5,wording_frame,tentative,repeated_vs_first_boundary,high,12,18,66.66666666666667
B5,wording_frame,tentative,repeated_vs_first_boundary,low,7,18,38.888888888888886
B5,wording_frame,tentative,repeated_vs_first_temporal,high,3,18,16.666666666666668
B5,wording_frame,tentative,repeated_vs_first_temporal,low,0,18,0.0
B5,wording_frame,tentative,high_vs_mild_bridge2plus,high,7,12,58.333333333333336
B5,wording_frame,tentative,high_vs_mild_bridge2plus,low,6,12,50.0
B5,wording_frame,tentative,high_vs_mild_bridge3,high,4,12,33.333333333333336
B5,wording_frame,tentative,high_vs_mild_bridge3,low,1,12,8.333333333333334
B5,wording_frame,tentative,high_vs_mild_consolation2,high,10,12,83.33333333333333
B5,wording_frame,tentative,high_vs_mild_consolation2,low,4,12,33.333333333333336
